"151"	"254"	"445"
"TRINITY_DN41_c0_g2_i1"	278.904	2844.33	514.38
"TRINITY_DN8_c0_g2_i2"	0	1.13627	0.20263
"TRINITY_DN8_c0_g1_i8"	0	0.157142	0
"TRINITY_DN8_c0_g1_i3"	0	0.398754	0.0511452
"TRINITY_DN81_c0_g2_i2"	0	0.312728	0
"TRINITY_DN81_c0_g1_i19"	0	0.214856	0.152006
"TRINITY_DN3810_c0_g1_i1"	314.588	458.473	436.044
"TRINITY_DN3814_c0_g1_i1"	0	0.155322	0
"TRINITY_DN3844_c0_g1_i1"	6302.85	7260.93	6541.12
"TRINITY_DN404_c0_g1_i7"	0	0.669501	0.376228
"TRINITY_DN404_c0_g1_i3"	0	0.0186694	0.00896564
"TRINITY_DN1127_c1_g1_i1"	2.61463	18.4298	1.64124
"TRINITY_DN868_c0_g1_i1"	0	0.492204	0
"TRINITY_DN237_c0_g1_i1"	35655.7	89781.8	25423.9
"TRINITY_DN3974_c0_g1_i1"	0	0.313361	0
"TRINITY_DN618_c0_g1_i2"	0	0.125774	0
"TRINITY_DN4343_c0_g1_i1"	0	0.509538	0
"TRINITY_DN2581_c0_g1_i1"	1315.34	2490.32	1618.98
"TRINITY_DN2578_c0_g2_i1"	9149.34	21158.7	12216.1
"TRINITY_DN3739_c0_g1_i1"	0	1.14405	0
"TRINITY_DN1976_c0_g1_i1"	66.3477	106.127	67.1722
"TRINITY_DN4117_c0_g1_i1"	0	0.730752	0
"TRINITY_DN3250_c0_g1_i1"	0	0.0925008	0
"TRINITY_DN151_c0_g1_i1"	314.886	476.125	433.079
"TRINITY_DN158_c1_g1_i1"	53.6495	85.22	62.5103
"TRINITY_DN166_c0_g2_i2"	1.585	2.63733	1.82725
"TRINITY_DN4898_c0_g1_i1"	1110.84	1636.44	1433.73
"TRINITY_DN2179_c1_g1_i1"	380.821	489.594	433.072
"TRINITY_DN3337_c0_g1_i1"	5.02587	9.57296	6.80178
"TRINITY_DN3356_c0_g1_i1"	0	0.372343	0.287767
"TRINITY_DN1812_c0_g1_i1"	0	0.706792	0.547528
"TRINITY_DN387_c0_g1_i1"	0	0.384767	0.102885
"TRINITY_DN387_c0_g2_i1"	0.153062	0.526599	0.42217
"TRINITY_DN4928_c0_g1_i1"	80.1363	92.5741	87.3182
"TRINITY_DN5079_c0_g1_i1"	0.0985024	0.336766	0.068074
"TRINITY_DN753_c0_g2_i1"	4255.93	6550.07	5941.67
"TRINITY_DN2241_c0_g1_i2"	2.82183	4.60134	2.51564
