"173"	"272"
"TRINITY_DN4727_c0_g1_i1"	1.05501	15.8883
"TRINITY_DN4752_c0_g1_i1"	0	1.81327
"TRINITY_DN44_c0_g2_i2"	0	9.16042
"TRINITY_DN4_c0_g1_i3"	3.8041	0
"TRINITY_DN77_c0_g1_i1"	0.0426532	0.821016
"TRINITY_DN58_c0_g1_i1"	1.38217	4.53977
"TRINITY_DN85_c0_g1_i1"	2.12957	5.69807
"TRINITY_DN85_c0_g2_i1"	0.178366	6.20617
"TRINITY_DN88_c0_g1_i4"	0	26.9322
"TRINITY_DN88_c0_g2_i3"	0	37.305
"TRINITY_DN10_c2_g1_i1"	5.40897	18.9514
"TRINITY_DN61_c0_g1_i3"	0	53.1561
"TRINITY_DN21_c0_g1_i2"	0.150716	7.52605
"TRINITY_DN21_c0_g1_i7"	0.000213897	2.21059
"TRINITY_DN21_c0_g1_i3"	0	11.9899
"TRINITY_DN21_c0_g1_i8"	1.80982	5.78268
"TRINITY_DN29_c0_g1_i1"	7.54267	0.826246
"TRINITY_DN29_c0_g1_i7"	0.000564646	0
"TRINITY_DN29_c0_g1_i2"	67.3595	0
"TRINITY_DN96_c0_g1_i3"	0	2.05607
"TRINITY_DN64_c0_g1_i5"	0	3.33338
"TRINITY_DN8_c0_g2_i2"	7.66346	26.2004
"TRINITY_DN8_c0_g1_i1"	1.18382	0
"TRINITY_DN8_c0_g1_i8"	0	12.6703
"TRINITY_DN8_c0_g1_i3"	0.839084	23.0078
"TRINITY_DN8_c0_g1_i5"	0	0.853344
"TRINITY_DN22_c0_g1_i6"	0	0.495249
"TRINITY_DN72_c0_g1_i5"	50.6099	70.5082
"TRINITY_DN72_c0_g1_i12"	14.2255	48.0482
"TRINITY_DN55_c0_g1_i1"	3.84869	30.8989
"TRINITY_DN51_c0_g2_i1"	0.0605506	6.83043
"TRINITY_DN51_c0_g1_i1"	0	3.69406
"TRINITY_DN81_c0_g2_i2"	0	0.220712
"TRINITY_DN81_c0_g1_i7"	62.4355	58.8939
"TRINITY_DN81_c0_g1_i19"	6.06672	9.57383
"TRINITY_DN81_c0_g1_i13"	0.459667	11.4754
"TRINITY_DN81_c0_g1_i28"	6.44315	26.1178
"TRINITY_DN81_c0_g1_i1"	29.7873	80.078
"TRINITY_DN81_c0_g1_i10"	7.84807	0
"TRINITY_DN81_c0_g1_i20"	9.48455	0.000556134
"TRINITY_DN3814_c0_g1_i1"	0.166926	8.28763
"TRINITY_DN2969_c0_g1_i2"	0	4.65055
"TRINITY_DN2969_c0_g1_i3"	2.27816	13.3601
"TRINITY_DN2987_c0_g1_i1"	0	18.2153
"TRINITY_DN2099_c0_g1_i1"	0	3.01687
"TRINITY_DN412_c0_g1_i1"	1.20664	4.24372
"TRINITY_DN453_c0_g1_i1"	0.82486	0
"TRINITY_DN404_c0_g1_i7"	12.1817	106.263
"TRINITY_DN404_c0_g1_i5"	1.00672e-05	25.8478
"TRINITY_DN404_c0_g1_i3"	0.000121731	9.54484e-09
"TRINITY_DN495_c0_g1_i4"	1.48537	2.83822
"TRINITY_DN465_c0_g1_i1"	0.166851	0.6326
"TRINITY_DN1127_c1_g1_i1"	1.00053	129.537
"TRINITY_DN804_c0_g1_i1"	0.784155	14.1296
"TRINITY_DN825_c1_g1_i1"	0	1.95744
"TRINITY_DN836_c0_g1_i2"	107.629	0
"TRINITY_DN836_c0_g1_i1"	247.963	17.691
"TRINITY_DN868_c0_g1_i1"	0	4.4221
"TRINITY_DN5174_c0_g1_i1"	2.05245	13.3678
"TRINITY_DN4273_c0_g1_i1"	0	35.7973
"TRINITY_DN4541_c0_g1_i1"	0.256284	0.915366
"TRINITY_DN2735_c0_g1_i1"	0.268425	0.477568
"TRINITY_DN2789_c0_g1_i1"	0.332362	0
